"","date","util"
"1",2015-10-31 08:48:00,1.208
"2",2015-10-30 20:28:00,12.334
"3",2015-10-31 13:58:00,1.86
"4",2015-11-02 10:08:00,0.882
"5",2015-10-29 04:08:00,2.384
"6",2015-10-29 00:08:00,15.256
"7",2015-10-31 10:48:00,1.118
"8",2015-11-01 19:53:00,8.33
"9",2015-10-29 05:53:00,1.66
"10",2015-10-30 05:58:00,1.51
"11",2015-11-02 02:18:00,8.86
"12",2015-11-02 03:33:00,4.224
"13",2015-11-01 23:58:00,21.974
"14",2015-10-28 23:18:00,20.368
"15",2015-10-31 21:33:00,32.54
"16",2015-10-29 17:18:00,4.014
"17",2015-11-02 18:58:00,3.606
"18",2015-11-01 00:38:00,36.812
"19",2015-11-02 08:53:00,0.89
"20",2015-10-29 11:13:00,1.002
"21",2015-10-31 16:03:00,5.152
"22",2015-11-01 10:23:00,1.056
"23",2015-10-30 21:43:00,26.608
"24",2015-10-30 21:03:00,15.942
"25",2015-11-02 20:53:00,5.358
"26",2015-11-02 07:43:00,1.01
"27",2015-11-02 19:13:00,3.558
"28",2015-10-31 23:23:00,45.698
"29",2015-10-30 08:23:00,1.068
"30",2015-11-02 01:13:00,17.5
"31",2015-10-29 09:38:00,0.892
"32",2015-10-29 11:38:00,1.092
"33",2015-11-01 14:08:00,1.966
"34",2015-10-31 10:38:00,0.926
"35",2015-10-31 15:33:00,3.634
"36",2015-11-02 14:23:00,1.042
"37",2015-10-30 06:53:00,1.04
"38",2015-11-01 13:38:00,1.49
"39",2015-11-02 05:13:00,2.754
"40",2015-11-02 13:58:00,1.198
"41",2015-10-30 18:38:00,5.68
"42",2015-10-31 06:53:00,1.47
"43",2015-10-28 23:28:00,17.358
"44",2015-10-30 10:53:00,0.984
"45",2015-10-31 07:38:00,1.09
"46",2015-10-30 11:58:00,1.158
"47",2015-10-29 12:43:00,1.4
"48",2015-10-30 23:33:00,41.568
"49",2015-11-02 00:38:00,19.012
"50",2015-11-01 08:58:00,1.11
